name,host_star,discovery_year,method,distance_pc,period_days,radius_earth,mass_earth,eq_temp_k
HD 219134 b,HD 219134,2015,Radial Velocity,6.53,3.0929,1.6,4.74,1015
HD 219134 c,HD 219134,2015,Radial Velocity,6.53,6.7646,1.51,4.36,782
HD 219134 d,HD 219134,2015,Radial Velocity,6.53,46.859,1.61,16.17,411
HD 219134 f,HD 219134,2015,Radial Velocity,6.53,22.717,1.31,7.3,523
LTT 1445 A c,LTT 1445 A,2022,Transit,6.87,3.1239,1.15,1.54,508
LTT 1445 A b,LTT 1445 A,2019,Transit,6.87,5.3588,1.34,2.73,431
GJ 486 b,GJ 486,2021,Radial Velocity,8.07,1.4671,1.29,2.77,696
GJ 367 b,GJ 367,2021,Transit,9.41,0.3219,0.7,0.63,1365
GJ 357 b,GJ 357,2019,Transit,9.44,3.9306,1.2,,518
AU Mic b,AU Mic,2020,Transit,9.72,8.4634,4.79,8.99,555
AU Mic c,AU Mic,2021,Transit,9.72,18.859,2.79,14.46,425
HD 260655 b,HD 260655,2022,Transit,10.01,2.7695,1.24,2.14,709
HD 260655 c,HD 260655,2022,Transit,10.01,5.7059,1.53,3.09,557
L 98-59 d,L 98-59,2019,Transit,10.62,7.4507,1.63,1.64,416
L 98-59 b,L 98-59,2019,Transit,10.62,2.2531,0.84,0.46,620
L 98-59 c,L 98-59,2019,Transit,10.62,3.6907,1.33,2.0,526
COCONUTS-2 b,COCONUTS-2 A,2021,Imaging,10.89,,12.58,2383.71,493
GJ 414 A b,GJ 414 A,2021,Radial Velocity,11.89,50.8,2.63,7.6,309
GJ 414 A c,GJ 414 A,2021,Radial Velocity,11.89,749.83,8.4,53.83,125
GJ 806 b,GJ 806,2023,Transit,12.04,0.9263,1.33,1.9,940
LHS 475 b,LHS 475,2023,Transit,12.48,2.0291,0.99,,586
GJ 1132 b,GJ 1132,2015,Transit,12.61,1.6289,1.19,1.84,584
HD 101581 c,HIP 56998,2025,Transit,12.78,6.204,0.99,,747
HD 101581 b,HIP 56998,2025,Transit,12.78,4.4657,0.96,,834
TOI-540 b,TOI-540,2020,Transit,14.0,1.2391,0.9,,611
GJ 1214 b,GJ 1214,2009,Transit,14.64,1.5804,2.73,8.41,567
HD 136352 b,HD 136352,2019,Radial Velocity,14.68,11.578,1.66,4.72,905
HD 136352 c,HD 136352,2019,Radial Velocity,14.68,27.5922,2.92,11.24,677
HD 136352 d,HD 136352,2019,Radial Velocity,14.68,107.245,2.56,8.82,431
LHS 3844 b,LHS 3844,2019,Transit,14.88,0.4629,1.29,2.37,816
LHS 1140 c,LHS 1140,2018,Transit,14.99,3.7779,1.27,1.91,422
LHS 1140 b,LHS 1140,2017,Transit,14.99,24.7372,1.73,5.6,226
GJ 238 b,GJ 238,2024,Transit,15.21,1.7447,0.57,,758
GJ 3929 b,GJ 3929,2022,Transit,15.81,2.6162,1.09,1.75,568
GJ 143 b,GJ 143,2019,Transit,16.32,35.6125,2.61,22.7,422
HD 21749 c,GJ 143,2019,Transit,16.32,7.7899,0.89,3.7,701
TOI-4527.01,TOI-4527,2024,Transit,18.1,0.3994,0.91,,1363
LHS 1478 b,LHS 1478,2021,Transit,18.23,1.9495,1.24,2.33,595
TOI-5388.01,TOI-5388,2024,Transit,18.52,2.5947,0.99,2.2,488
TOI-6716 b,TOI-6716,2026,Transit,18.89,4.7186,0.98,,369
TOI-2194 b,TOI-2194,2023,Transit,19.57,15.3376,1.99,,591
TOI-260 b,TOI-260,2024,Transit,20.19,13.4759,1.71,4.23,493
TOI-5789 c,TOI-5789,,Transit,20.46,12.9277,2.86,5.0,718
TOI-6324 b,TOI-6324,2025,Transit,20.55,0.2792,1.06,1.17,1216
HD 97658 b,HD 97658,2010,Radial Velocity,21.56,9.4897,2.12,8.3,751
K2-415 b,K2-415,2023,Transit,21.82,4.018,1.01,7.5,412
LTT 3780 b,LTT 3780,2020,Transit,21.98,0.7684,1.33,2.46,903
LTT 3780 c,LTT 3780,2020,Transit,21.98,12.2523,2.39,8.04,359
TOI-244 b,TOI-244,2023,Transit,22.03,7.3972,1.52,2.68,458
HD 63433 b,HD 63433,2020,Transit,22.4,7.1079,2.14,21.76,967
HD 63433 c,HD 63433,2020,Transit,22.4,20.5438,2.69,15.54,679
HD 63433 d,HD 63433,2023,Transit,22.4,4.2091,1.07,,1040
TOI-1450 A b,TOI-1450 A,2024,Transit,22.45,2.0439,1.13,1.26,722
GJ 3090 b,GJ 3090,2022,Transit,22.48,2.8531,2.18,4.52,723
TOI-270 b,TOI-270,2019,Transit,22.48,3.3599,1.28,1.48,600
TOI-270 c,TOI-270,2019,Transit,22.48,5.6605,2.33,6.2,489
TOI-270 d,TOI-270,2019,Transit,22.48,11.3819,2.0,4.2,383
TOI-4336 A b,TOI-4336 A,2024,Transit,22.55,16.3364,2.14,3.33,309
TOI-4336 A c,TOI-4336 A,2026,Transit,22.55,7.5873,1.25,1.55,400
TOI-2134 c,TOI-2134,2023,Transit,22.62,95.5,7.27,41.89,306
TOI-2134 b,TOI-2134,2023,Transit,22.62,9.2292,2.69,9.13,666
TOI-6008 b,TOI-6008,2024,Transit,23.1,0.8574,1.03,4.0,707
HD 207496 b,HD 207496,2023,Transit,23.61,6.441,2.25,6.1,743
TOI-198 b,TOI-198,2023,Transit,23.73,10.2152,1.36,3.17,456
TOI-2443 b,TOI-2443,2023,Transit,23.93,15.6686,2.36,4.8,519
WD 1856+534 b,WD 1856+534,2020,Transit,24.74,1.4079,10.4,4386.05,163
TOI-1468 c,TOI-1468,2022,Transit,24.74,15.5325,2.13,4.1,338
TOI-1468 b,TOI-1468,2022,Transit,24.74,1.8805,1.4,3.04,684
L 168-9 b,L 168-9,2020,Transit,25.15,1.4015,1.63,4.07,998
TOI-771 b,TOI-771,2024,Transit,25.28,2.326,1.36,2.47,543
TOI-1080 b,TOI-1080,2026,Transit,25.56,3.9652,1.2,10.7,368
TOI-912 b,TOI-912,2025,Transit,26.11,4.6781,1.93,5.1,551
LP 791-18 b,LP 791-18,2019,Transit,26.49,0.948,1.21,,564
TOI-776 b,TOI-776,2020,Transit,27.17,8.2466,1.8,5.0,520
TOI-776 c,TOI-776,2020,Transit,27.17,15.6653,2.05,6.9,420
TOI-4552 b,TOI-4552,2026,Transit,27.27,0.3011,1.11,1.83,1122
GJ 3473 b,GJ 3473,2020,Transit,27.36,1.198,1.26,1.86,773
TOI-836.01,TOI-836,2021,Transit,27.5,8.5955,2.59,9.6,665
TOI-836 b,TOI-836,2023,Transit,27.5,3.8167,1.7,4.53,871
TOI-1231 b,TOI-1231,2021,Transit,27.62,24.2456,3.65,15.4,330
TOI-5799 b,TOI-5799,2024,Transit,27.81,4.1645,1.73,,505
TOI-5799 c,TOI-5799,2025,Transit,27.81,14.0104,1.76,,337
G 9-40 b,G 9-40,2019,Transit,27.93,5.746,1.9,4.0,441
HD 207897 b,HD 207897,2021,Transit,28.29,16.2017,2.34,14.8,582
TOI-4529 b,TOI-4529,2026,Transit,28.38,5.8796,1.77,4.9,511
TOI-2427 b,TOI-2427,2022,Transit,28.51,1.306,1.8,,1117
Wolf 327 b,Wolf 327,2024,Transit,28.53,0.5735,1.24,2.53,996
GJ 3470 b,GJ 3470,2012,Radial Velocity,29.42,3.3366,4.57,13.9,594
GJ 9827 b,GJ 9827,2017,Transit,29.66,1.209,1.44,4.28,1035
GJ 9827 c,GJ 9827,2017,Transit,29.66,3.6481,1.13,1.86,716
GJ 9827 d,GJ 9827,2017,Transit,29.66,6.2018,1.98,3.02,675
TOI-4438 b,TOI-4438,2024,Transit,30.03,7.4463,2.52,5.4,435
TOI-1452 b,TOI-1452,2022,Transit,30.52,11.062,1.67,4.82,326
TOI-1801 b,TOI-1801,2023,Transit,30.68,10.6439,2.08,5.74,494
TOI-1693 b,TOI-1693,2022,Transit,30.79,1.7667,1.41,,764
TOI-406 c,TOI-406,2024,Transit,31.06,3.3074,1.32,2.08,584
TOI-406.01,TOI-406,2024,Transit,31.06,13.1757,2.08,6.57,368
K2-239 b,K2-239,2018,Transit,31.08,5.24,1.1,,502
K2-239 c,K2-239,2018,Transit,31.08,7.775,1.0,,427
K2-239 d,K2-239,2018,Transit,31.08,10.115,1.1,,399
TOI-6086 b,TOI-6086,2024,Transit,31.46,1.3889,1.18,,634
HD 73583 b,HD 73583,2022,Transit,31.57,6.398,2.79,10.2,714
HD 73583 c,HD 73583,2022,Transit,31.57,18.8797,2.39,9.7,498
TOI-4559 b,TOI-4559,2024,Transit,31.64,3.966,1.42,,554
HR 858 b,HR 858,2019,Transit,31.96,3.5853,2.0,3.55,1552
HR 858 c,HR 858,2019,Transit,31.96,5.9739,1.98,3.8,1309
HR 858 d,HR 858,2019,Transit,31.96,11.2305,2.0,7.1,1061
TOI-6002 b,TOI-6002,2024,Transit,32.03,10.9048,1.65,,321
HD 110067 b,HD 110067,2023,Transit,32.16,9.1137,2.2,5.69,800
HD 110067 c,HD 110067,2023,Transit,32.16,13.6737,2.39,6.3,699
HD 110067 d,HD 110067,2023,Transit,32.16,20.5196,2.85,8.52,602
HD 110067 e,HD 110067,2023,Transit,32.16,30.7931,1.94,3.9,533
HD 110067 f,HD 110067,2023,Transit,32.16,41.0585,2.6,5.04,489
HD 110067 g,HD 110067,2023,Transit,32.16,54.7699,2.61,8.4,440
TOI-2120 b,TOI-2120,2024,Transit,32.18,5.7998,2.12,6.8,384
LP 890-9 b,LP 890-9,2022,Transit,32.43,2.7299,1.32,13.2,396
LP 890-9 c,LP 890-9,2022,Transit,32.43,8.4575,1.37,25.3,272
TOI-1411 b,TOI-1411,2022,Transit,32.48,1.4521,1.2,2.0,976
TOI-5734 b,TOI-5734,2026,Transit,32.51,6.1842,2.1,9.1,688
TOI-431 b,TOI-431,2021,Transit,32.57,0.49,1.28,3.07,1862
TOI-431 d,TOI-431,2021,Transit,32.57,12.461,3.29,9.9,633
TOI-620 b,TOI-620,2022,Transit,33.02,5.0988,3.76,,604
HD 88986 b,HD 88986,2023,Radial Velocity,33.27,146.05,2.49,17.2,460
TOI-2136 b,TOI-2136,2022,Transit,33.36,7.8519,2.19,6.37,395
HD 73344 b,HD 73344,2024,Transit,35.26,15.611,2.88,10.48,911
TOI-1634 b,TOI-1634,2021,Transit,35.27,0.9893,1.76,4.9,900
TOI-7166 b,TOI-7166,2025,Transit,35.42,12.9206,2.01,,249
LHS 1903 c,LHS 1903,2026,Transit,35.69,6.2262,2.05,4.55,559
LHS 1903 b,LHS 1903,2026,Transit,35.69,2.1555,1.38,3.28,796
LHS 1903 d,LHS 1903,2026,Transit,35.69,12.5663,2.5,5.96,442
LHS 1903 e,LHS 1903,2026,Transit,35.69,29.3177,1.73,5.79,333
TOI-5720 b,TOI-5720,2024,Transit,35.83,1.4345,1.09,4.3,708
TOI-1266 b,TOI-1266,2020,Transit,36.01,10.8945,2.52,4.46,415
TOI-1266 c,TOI-1266,2020,Transit,36.01,18.8027,1.98,3.17,346
TOI-2431 b,TOI-2431,2026,Transit,36.06,0.2242,1.53,6.2,2063
TOI-2128 b,TOI-2128,2024,Transit,36.58,16.3414,2.09,4.5,781
TOI-2459 b,TOI-2459,2023,Transit,36.61,19.1047,2.95,,445
TOI-1680 b,TOI-1680,2023,Transit,37.22,4.8026,1.47,,404
TOI-1224 b,TOI-1224,2024,Transit,37.33,4.1783,2.1,,541
TOI-1685 b,TOI-1685,2021,Transit,37.62,0.6691,1.42,3.07,1000
TOI-1201 b,TOI-1201,2021,Transit,37.89,2.492,2.42,6.28,703
K2-18 b,K2-18,2015,Transit,38.03,32.9396,2.37,8.92,284
TOI-237 b,TOI-237,2020,Transit,38.07,5.4361,1.44,,388
TOI-237 c,TOI-237,2026,Transit,38.07,1.7449,1.21,,515
TOI-6478 b,TOI-6478,2025,Transit,38.61,34.005,4.6,,204
HD 23472 b,HD 23472,2019,Transit,39.03,17.6671,2.0,8.32,543
HD 23472 c,HD 23472,2019,Transit,39.03,29.7975,1.87,3.41,467
HD 23472 e,HD 23472,2022,Transit,39.03,7.9075,0.82,0.72,723
HD 23472 d,HD 23472,2022,Transit,39.03,3.9766,0.75,0.55,909
HD 23472 f,HD 23472,2022,Transit,39.03,12.1622,1.14,0.77,630
HD 203030 b,HD 203030,2006,Imaging,39.25,,14.46,3496.11,1040
TOI-5716 b,TOI-5716,2025,Transit,39.41,6.7663,0.96,,400
Kepler-42 b,Kepler-42,2011,Transit,40.06,1.2138,0.78,,519
Kepler-42 d,Kepler-42,2011,Transit,40.06,1.8652,0.57,,450
Kepler-42 c,Kepler-42,2011,Transit,40.06,0.4533,0.73,,720
TOI-1759 b,TOI-1759,2022,Transit,40.07,18.8502,3.14,10.8,443
TOI-5713 b,TOI-5713,2024,Transit,40.87,10.442,1.77,,347
TOI-544 b,TOI-544,2022,Transit,41.12,1.5484,2.02,2.89,999
TOI-1442 b,TOI-1442,2022,Transit,41.17,0.4091,1.17,,1072
HR 8799 e,HR 8799,2010,Imaging,41.24,,13.11,3178.3,1150
TOI-1743 b,TOI-1743,2025,Transit,41.28,4.266,1.83,,485
TOI-833 b,TOI-833,2022,Transit,41.71,1.0419,1.27,,1118
TOI-2076 b,TOI-2076,2021,Transit,41.91,10.355,2.59,6.7,736
TOI-2076 c,TOI-2076,2021,Transit,41.91,21.0145,3.54,7.2,581
TOI-2076 d,TOI-2076,2021,Transit,41.91,35.128,3.27,7.3,490
TOI-2076 e,TOI-2076,2025,Transit,41.91,3.0224,1.3,4.7,1110
TOI-2095 c,TOI-2095,2023,Transit,41.92,28.1723,1.33,7.4,297
TOI-2095 b,TOI-2095,2023,Transit,41.92,17.6648,1.25,4.1,347
TOI-715 b,TOI-715,2023,Transit,42.4,19.288,1.55,,234
TOI-2285 b,TOI-2285,2021,Transit,42.41,13.6351,1.77,,358
TOI-139 b,TOI-139,2023,Transit,42.41,11.0709,2.46,,561
TOI-1807 b,TOI-1807,2021,Transit,42.58,0.5494,1.5,2.44,1694
TOI-5800 b,TOI-5800,2025,Transit,42.91,2.6279,2.46,9.5,1108
TOI-3884 b,TOI-3884,2022,Transit,43.14,4.5446,6.43,32.59,441
TOI-5082.01,TOI-5082,2024,Transit,43.14,4.2401,2.55,,1165
TOI-1243 b,TOI-1243,2026,Transit,43.19,4.6595,2.33,7.7,450
TOI-262 b,TOI-262,2023,Transit,43.93,11.1453,2.07,,584
TOI-4364 b,TOI-4364,2025,Transit,43.97,5.424,2.01,,488
DS Tuc A b,DS Tuc A,2019,Transit,44.06,8.1383,5.7,,850
K2-3 b,K2-3,2015,Transit,44.07,10.0547,2.08,5.11,501
K2-3 c,K2-3,2015,Transit,44.07,24.6467,1.58,2.68,372
K2-3 d,K2-3,2015,Transit,44.07,44.556,1.46,2.2,305
Wolf 503 b,Wolf 503,2018,Transit,44.53,6.0013,2.04,6.26,790
TOI-1776 b,TOI-1776,2024,Transit,44.65,2.7999,1.22,1.4,1269
BD+60 1417 b,BD+60 1417,2021,Imaging,44.95,,14.68,4767.43,1303
K2-25 b,K2-25,2015,Transit,44.96,3.4846,3.44,24.5,494
TOI-5489 b,TOI-5489,2025,Transit,45.09,3.1522,1.4,,624
TOI-5489 c,TOI-5489,2025,Transit,45.09,4.9213,1.28,,536
TOI-1695 b,TOI-1695,2022,Transit,45.13,3.1343,1.9,6.36,698
HD 15906 b,HD 15906,2023,Transit,45.56,10.9247,2.24,,668
HD 15906 c,HD 15906,2023,Transit,45.56,21.5833,2.93,,532
HD 25463 b,HD 25463,2023,Transit,45.62,7.0491,2.55,8.7,1198
HD 25463 c,HD 25463,2023,Transit,45.62,3.0441,1.36,4.3,1586
HD 86226 c,HD 86226,2020,Transit,45.68,3.9844,2.16,7.25,1311
TOI-1860 b,TOI-1860,2022,Transit,45.86,1.0662,1.31,,1885
TOI-674 b,TOI-674,2021,Transit,46.09,1.9771,5.25,23.6,635
TOI-904 b,TOI-904,2023,Transit,46.09,10.8772,2.43,,429
TOI-904 c,TOI-904,2023,Transit,46.09,83.9997,2.17,,217
HIP 113103 b,HIP 113103,2023,Transit,46.21,7.6103,1.83,,721
HIP 113103 c,HIP 113103,2023,Transit,46.21,14.2456,2.4,,585
Ross 176 b,Ross 176,2025,Transit,46.45,5.0066,1.84,4.57,682
TOI-1846 b,TOI-1846,2025,Transit,47.25,3.9307,1.79,,568
HD 3167 b,HD 3167,2016,Transit,47.29,0.9596,1.67,4.97,1774
HD 3167 c,HD 3167,2016,Transit,47.29,29.8454,3.0,11.13,564
TOI-2015 b,TOI-2015,2023,Transit,47.34,3.3482,3.31,9.2,531
TOI-500 b,TOI-500,2022,Transit,47.39,0.5482,1.17,1.42,1617
GU Psc b,GU Psc,2014,Imaging,47.55,,14.18,3591.3,1050
TOI-206 b,TOI-206,2022,Transit,47.75,0.7363,1.3,,910
HD 213885 b,HD 213885,2019,Transit,48.09,1.008,1.75,8.83,2128
TOI-2096 b,TOI-2096,2023,Transit,48.48,3.1191,1.24,,445
TOI-2096 c,TOI-2096,2023,Transit,48.48,6.3878,1.91,,349
TOI-2445 b,TOI-2445,2022,Transit,48.58,0.3711,1.25,,1060
TOI-2274 b,TOI-2274,2024,Transit,48.88,2.6796,2.45,,771
HD 63935 c,HD 63935,2021,Radial Velocity,48.97,21.4027,3.06,11.1,620
HD 63935 b,HD 63935,2021,Transit,48.97,9.0588,2.92,10.5,825
WASP-80 b,WASP-80,2012,Transit,49.79,3.0679,11.2,170.99,825
WASP-69 b,WASP-69,2014,Transit,49.96,3.8681,11.21,82.58,971
kap And b,kap And,2012,Imaging,50.02,,15.92,5498.43,1791
TOI-2094 b,TOI-2094,2026,Transit,50.02,18.7932,1.9,,276
TOI-1683.01,TOI-1683,2024,Transit,51.19,3.0575,2.64,,929
TOI-2266 b,TOI-2266,2024,Transit,51.6,2.3263,1.54,,550
TOI-1470 b,TOI-1470,2023,Transit,51.95,2.5271,2.18,7.32,734
TOI-1470 c,TOI-1470,2023,Transit,51.95,18.0882,2.47,7.24,373
TOI-782 b,TOI-782,2024,Transit,52.51,8.024,2.73,19.1,435
LP 714-47 b,LP 714-47,2020,Transit,52.62,4.052,4.7,30.8,700
TOI-2068 b,TOI-2068,2024,Transit,52.93,7.7689,1.82,,521
HD 191939 d,HD 191939,2020,Transit,53.61,38.353,3.0,2.8,540
HD 191939 c,HD 191939,2020,Transit,53.61,28.5797,3.2,8.0,600
HD 191939 b,HD 191939,2020,Transit,53.61,8.8803,3.41,10.0,880
TOI-1774.01,TOI-1774,2021,Transit,53.97,16.7099,2.78,8.5,824
TOI-480 b,TOI-480,2024,Transit,54.53,6.8662,2.85,20.8,1199
TOI-5728 b,TOI-5728,2025,Transit,54.7,11.4976,1.31,,382
TOI-1416 b,TOI-1416,2023,Transit,55.01,1.0698,1.62,3.48,1517
TOI-2406 b,TOI-2406,2021,Transit,55.42,3.0767,2.86,15.6,449
TOI-1806.01,TOI-1806,2024,Transit,55.52,15.1455,3.41,,337
TOI-4443.01,TOI-4443,2024,Transit,56.07,1.8499,1.72,,1639
K2-315 b,K2-315,2020,Transit,56.97,3.1443,0.95,,460
TOI-269 b,TOI-269,2021,Transit,57.02,3.6977,2.77,8.8,531
HD 183579 b,HD 183579,2021,Transit,57.27,17.4713,3.49,20.4,752
TOI-444 b,TOI-444,2023,Transit,57.4,17.9636,2.77,,609
HD 5278 b,HD 5278,2021,Transit,57.58,14.3392,2.45,7.8,943
TOI-654.01,TOI-654,2024,Transit,57.76,1.5276,2.38,8.71,794
TOI-2257 b,TOI-2257,2021,Transit,57.79,35.1893,2.19,,256
TOI-1130 b,TOI-1130,2020,Transit,58.26,4.0746,3.66,19.8,825
TOI-1130 c,TOI-1130,2020,Transit,58.26,8.3502,13.0,336.0,650
HIP 94235 b,HIP 94235,2022,Transit,58.51,7.7131,3.0,379.0,1060
TOI-712 b,TOI-712,2022,Transit,58.62,9.5314,2.05,,650
TOI-712 c,TOI-712,2022,Transit,58.62,51.6991,2.7,,370
TOI-712 d,TOI-712,2022,Transit,58.62,84.8396,2.47,,314
TOI-286 b,TOI-286,2024,Transit,59.23,4.5117,1.42,4.53,979
TOI-286 c,TOI-286,2024,Transit,59.23,39.3618,1.88,3.72,475
K2-136 b,K2-136,2017,Transit,59.25,7.9752,1.01,4.3,610
K2-136 c,K2-136,2017,Transit,59.25,17.3071,3.0,18.1,470
K2-136 d,K2-136,2017,Transit,59.25,25.575,1.57,3.0,420
TOI-1824 b,TOI-1824,2024,Transit,59.43,22.8085,2.74,16.0,529
TOI-2411 b,TOI-2411,2022,Transit,59.54,0.7827,1.68,,1355
TOI-815 c,TOI-815,2024,Transit,59.71,34.9761,2.62,23.5,469
TOI-815 b,TOI-815,2024,Transit,59.71,11.1973,2.94,7.6,686
TOI-2322 c,TOI-2322,2025,Transit,59.86,20.2255,1.87,18.1,497
TOI-2322 b,TOI-2322,2025,Transit,59.86,11.3072,0.99,2.31,603
TOI-757 b,TOI-757,2024,Transit,60.34,17.4682,2.5,10.5,641
TOI-880 c,TOI-880,2025,Transit,60.67,6.3873,4.95,,805
TOI-880.02,TOI-880,2024,Transit,60.67,2.5757,2.19,,1085
TOI-1728 b,TOI-1728,2020,Transit,60.8,3.4915,5.05,26.78,767
TOI-521 b,TOI-521,2025,Transit,60.94,1.5429,1.98,5.3,794
TOI-5319 b,TOI-5319,2024,Transit,61.17,4.0785,2.83,,695
TOI-1075 b,TOI-1075,2022,Transit,61.46,0.6047,1.79,9.95,1323
TOI-4342 b,TOI-4342,2023,Transit,61.52,5.5383,2.33,7.3,639
TOI-4342 c,TOI-4342,2023,Transit,61.52,10.6887,2.35,4.8,514
HIP 65 A b,HIP 65 A,2020,Transit,61.79,0.981,22.75,1021.19,1411
K2-141 b,K2-141,2018,Transit,61.87,0.2803,1.51,4.97,2103
K2-141 c,K2-141,2018,Transit,61.87,7.7485,7.0,8.0,695
TOI-122 b,TOI-122,2020,Transit,62.12,5.078,2.72,,471
TOI-2081 b,TOI-2081,2022,Transit,62.34,10.5053,2.04,,488
HIP 116454 b,HIP 116454,2014,Transit,62.45,9.1004,2.47,9.7,753
TOI-411 c,HD 22946,2022,Transit,62.78,9.5731,2.33,9.72,931
TOI-411 b,HD 22946,2022,Transit,62.78,4.0403,1.36,13.71,1241
HD 22946 d,HD 22946,2023,Transit,62.78,47.4249,2.61,26.57,546
K2-28 b,K2-28,2016,Transit,63.0,2.2605,2.32,,568
TOI-4602.01,TOI-4602,2024,Transit,63.06,3.9812,2.55,,1380
HD 20329 b,HD 20329,2022,Transit,63.68,0.9261,1.72,7.42,2141
Kepler-37 d,Kepler-37,2013,Transit,63.92,39.7923,2.03,2.0,499
Kepler-37 c,Kepler-37,2013,Transit,63.92,21.3018,0.76,1.3,615
Kepler-37 b,Kepler-37,2013,Transit,63.92,13.367,0.31,0.79,718
TOI-824 b,TOI-824,2020,Transit,63.93,1.393,2.93,18.47,1253
K2-257 b,K2-257,2018,Transit,64.01,1.6059,0.83,,789
TOI-663 d,TOI-663,2024,Transit,64.23,7.1027,1.92,5.2,482
TOI-663 c,TOI-663,2024,Transit,64.23,4.6956,2.26,3.65,553
TOI-663 b,TOI-663,2024,Transit,64.23,2.5989,2.27,4.45,674
2MASS J12073346-3932539 b,2MASS J12073346-3932539,2004,Imaging,64.31,,15.69,1652.71,1163
TOI-1696 b,TOI-1696,2022,Transit,64.92,2.5003,3.09,48.8,489
TOI-1203.01,TOI-1203,2021,Transit,64.99,25.5027,2.92,7.39,744
TOI-1203 b,TOI-1203,2025,Radial Velocity,64.99,4.1573,1.52,3.51,1361
TOI-913 b,TOI-913,2023,Transit,65.18,11.0986,2.45,,712
K2-288 B b,K2-288 B,2018,Transit,65.61,31.3935,1.9,,226
HIP 97166 b,HIP 97166,2021,Transit,65.95,10.2889,2.48,19.1,702
2MASS J0249-0557 c,2MASS J0249-0557 A,2018,Imaging,66.06,,17.37,3616.89,1723
TOI-7384 b,TOI-7384,2026,Transit,66.79,6.234,3.56,,378
Kepler-138 c,Kepler-138,2014,Transit,66.86,13.7815,1.51,2.3,410
Kepler-138 d,Kepler-138,2014,Transit,66.86,23.0923,1.51,2.1,345
Kepler-138 b,Kepler-138,2014,Transit,66.86,10.3134,0.64,0.07,452
TOI-672 b,TOI-672,2023,Transit,66.91,3.6336,5.31,50.9,700
TOI-512 b,TOI-512,2025,Transit,67.4,7.1889,1.54,3.57,1009
K2-233 c,K2-233,2018,Transit,67.51,7.0602,1.27,4.6,794
K2-233 d,K2-233,2018,Transit,67.51,24.3681,2.36,10.3,525
K2-233 b,K2-233,2018,Transit,67.51,2.4676,1.32,2.4,1127
HIP 9618 b,HIP 9618,2023,Transit,67.55,20.7729,3.83,8.3,641
HIP 9618 c,HIP 9618,2023,Transit,67.55,52.5636,3.43,7.0,470
HD 6061 b,HD 6061,2023,Transit,67.62,5.2549,2.43,10.0,1075
TOI-871 b,TOI-871,2024,Transit,68.05,14.3626,1.66,,621
TOI-1064 b,TOI-1064,2022,Transit,68.07,6.4439,2.59,13.5,784
TOI-1064 c,TOI-1064,2022,Transit,68.07,12.2266,2.65,2.5,634
Kepler-409 b,Kepler-409,2014,Transit,68.17,68.9583,1.2,6.0,438
TOI-469.01,TOI-469,2021,Transit,68.19,13.6308,3.41,9.1,716
